OBJECTID,SITE_NAME,REFERENCE,STATUS,MAJOR_DEV,DEVELOPER,DEV_NAME,APP_NO,WBC_APP_NO_unique,Shape_Length,Shape_Area
1,Kentwood Farm East,NW3,Completed,North Wokingham,Crest Nicholson,Mulberry Grove,O/2011/0699,RM/2013/1164,2082.903104,137856.3832
2,Land at Plough Farm,NW6,Completed,North Wokingham,Persimmon,Carrillions,F/2007/2517,12345,1249.619874,64361.26946
3,Land at Plough Farm,NW7,Completed,North Wokingham,Bellway Homes,Buttercup Close,F/2012/2031,12345,454.0245541,11611.87655
4,Matthewsgreen Farm,NW5_2a,Completed,North Wokingham,Bovis & Thames Valley Housing,Phase 2a, ,160765,829.8805927,42851.17236
5,Arborfield Garrison,A8,Completed,Arborfield,Crest Nicholson,Bohunt Secondary School,O/2014/2280,F/2015/0001,1593.604421,68963.64014
6,Plough Lane,NW12,Nature Park (open),North Wokingham,Bellway Homes,TBC,F/2007/2517,C/2010/1511,577.8983245,15525.78577
7,Kentwood Farm,NW8,Nature Park (open),North Wokingham,Crest Nicholson,Kentwood Meadows,O/2011/0699,161839,1041.442033,46540.17918
8,Bell Farm,NW9,Nature Park (open),North Wokingham,Berkeley Homes,TBC, ,161839,1289.746948,91537.75996
9,Old Forest Rod,NW10,Nature Park (open),North Wokingham,Bovis Homes & Linden,TBC,F/2014/1216,12345,1122.143692,35537.49628
10,Old Forest Rod,NW10,Nature Park (open),North Wokingham,Bovis Homes & Gleeson Developments,TBC,F/2014/1216,12345,1166.117294,30107.74397
11,Hogwood,A1,In planning application process,Arborfield,Legal & General Homes,,O/2014/2179,12345,4460.241248,856773.3419
12,Parcel O1 (Phase One),A3,Completed,Arborfield,Crest Nicholson,Waterman's View at Arborfield Green,O/2014/2280,150162,1231.659324,54951.01515
13,Parcel T (Phase Two),A4,Under construction,Arborfield,Crest Nicholson,Arborfield Green,O/2014/2280,161536,1124.839311,52034.27893
14,West Court SANG,A6a,Nature Park (proposed),Arborfield,Crest Nicholson,West Court,O/2014/2280,12345,3128.248718,225197.5563
15,Buckhurst Farm,SW1_5,Completed,South Wokingham,Barratt Homes,Montague Park Phase 5,"O/2010/1712, VAR/2015/0342 & 161963",RM/2014/0265,1100.54491,43690.30273
15,Buckhurst Farm,SW1_5,Completed,South Wokingham,Barratt Homes,Montague Park Phase 5,"O/2010/1712, VAR/2015/0342 & 161963",RNMT/2015/1307 ,1100.54491,43690.30273
15,Buckhurst Farm,SW1_5,Completed,South Wokingham,Barratt Homes,Montague Park Phase 5,"O/2010/1712, VAR/2015/0342 & 161963",152378,1100.54491,43690.30273
15,Buckhurst Farm,SW1_5,Completed,South Wokingham,Barratt Homes,Montague Park Phase 5,"O/2010/1712, VAR/2015/0342 & 161963",160611,1100.54491,43690.30273
16,Buckhurst Farm,SW1_2,Completed,South Wokingham,David Wilson Homes,Montague Park Phase 2 (residential),"O/2010/1712, VAR/2015/0342 & 161963",RM/2013/0242,1388.800907,51583.68882
16,Buckhurst Farm,SW1_2,Completed,South Wokingham,David Wilson Homes,Montague Park Phase 2 (residential),"O/2010/1712, VAR/2015/0342 & 161963",NMT/2013/2500,1388.800907,51583.68882
17,Buckhurst Farm,SW1_7,Completed,South Wokingham,David Wilson Homes,Montague Park Phase 7,"O/2010/1712, VAR/2015/0342 & 161963",153263,592.991649,21548.74095
18,Buckhurst Farm,SW1_4,Completed,South Wokingham,David Wilson Homes,Montague Park Phase 4,"O/2010/1712, VAR/2015/0342 & 161963",NMT/2014/2807,1200.063828,33027.94263
18,Buckhurst Farm,SW1_4,Completed,South Wokingham,David Wilson Homes,Montague Park Phase 4,"O/2010/1712, VAR/2015/0342 & 161963",RM/2014/0979,1200.063828,33027.94263
19,Buckhurst Farm,SW1_1,Nature Park (open),South Wokingham,David Wilson Homes,Montague Park Phase 2 (SANG),"O/2010/1712, VAR/2015/0342 & 161963",RM/2013/0242,2235.148444,139761.2147
20,Film Studio,A9,Completed,Arborfield,Crest Nicholson,Arborfield Green,162881,12345,2118.809128,115373.4397
21,Bell Farm,NW1,Under construction,North Wokingham,Berkeley Homes,Foundry Place, ,161839,1234.355566,63162.48084
