,OBJECTID,SITE_NAME,REFERENCE,STATUS,MAJOR_DEV,DEVELOPER,DEV_NAME,APP_NO,WBC_APP_NO_UNIQUE,APPLICATION_DETAIL
0,1,Kentwood Farm East,NW3,Completed,North Wokingham,Crest Nicholson,Mulberry Grove,O/2011/0699,RM/2013/1164,"<td class=""RecordDetail"">Reserved Matters application pursuant to Outline Planning Consent
O/2011/0699 for the erection of 274 dwellings, garages, parking and carports (total 608 parking spaces) internal roads, pathways,
substations, gas governor, the construction of a new access  from Keephatch Road and two new access points from Warren House Road with associated amenity space, incorporating allotments. (Appearance, Landscaping and Scale to be considered)</td>"
1,2,Land at Plough Farm,NW6,Completed,North Wokingham,Persimmon,Carrillions,F/2007/2517,,
2,3,Land at Plough Farm,NW7,Completed,North Wokingham,Bellway Homes,Buttercup Close,F/2012/2031,,
3,4,Matthewsgreen Farm,NW5_2a,Completed,North Wokingham,Bovis & Thames Valley Housing,Phase 2a, ,,
4,5,Arborfield Garrison,A8,Completed,Arborfield,Crest Nicholson,Bohunt Secondary School,O/2014/2280,,
5,6,Plough Lane,NW12,Nature Park (open),North Wokingham,Bellway Homes,TBC,F/2007/2517,,
6,7,Kentwood Farm,NW8,Nature Park (open),North Wokingham,Crest Nicholson,Kentwood Meadows,O/2011/0699,,
7,8,Bell Farm,NW9,Nature Park (open),North Wokingham,Berkeley Homes,TBC, ,,
8,9,Old Forest Rod,NW10,Nature Park (open),North Wokingham,Bovis Homes & Linden,TBC,F/2014/1216,,
9,10,Old Forest Rod,NW10,Nature Park (open),North Wokingham,Bovis Homes & Gleeson Developments,TBC,F/2014/1216,,
10,11,Hogwood,A1,In planning application process,Arborfield,Legal & General Homes,,O/2014/2179,,
11,12,Parcel O1 (Phase One),A3,Completed,Arborfield,Crest Nicholson,Waterman's View at Arborfield Green,O/2014/2280,,
12,13,Parcel T (Phase Two),A4,Under construction,Arborfield,Crest Nicholson,Arborfield Green,O/2014/2280,,
13,14,West Court SANG,A6a,Nature Park (proposed),Arborfield,Crest Nicholson,West Court,O/2014/2280,,
14,15,Buckhurst Farm,SW1_5,Completed,South Wokingham,Barratt Homes,Montague Park Phase 5,"O/2010/1712, VAR/2015/0342 & 161963",,
15,15,Buckhurst Farm,SW1_5,Completed,South Wokingham,Barratt Homes,Montague Park Phase 5,"O/2010/1712, VAR/2015/0342 & 161963",,
16,15,Buckhurst Farm,SW1_5,Completed,South Wokingham,Barratt Homes,Montague Park Phase 5,"O/2010/1712, VAR/2015/0342 & 161963",,
17,15,Buckhurst Farm,SW1_5,Completed,South Wokingham,Barratt Homes,Montague Park Phase 5,"O/2010/1712, VAR/2015/0342 & 161963",,
18,16,Buckhurst Farm,SW1_2,Completed,South Wokingham,David Wilson Homes,Montague Park Phase 2 (residential),"O/2010/1712, VAR/2015/0342 & 161963",,
19,16,Buckhurst Farm,SW1_2,Completed,South Wokingham,David Wilson Homes,Montague Park Phase 2 (residential),"O/2010/1712, VAR/2015/0342 & 161963",,
20,17,Buckhurst Farm,SW1_7,Completed,South Wokingham,David Wilson Homes,Montague Park Phase 7,"O/2010/1712, VAR/2015/0342 & 161963",,
21,18,Buckhurst Farm,SW1_4,Completed,South Wokingham,David Wilson Homes,Montague Park Phase 4,"O/2010/1712, VAR/2015/0342 & 161963",,
22,18,Buckhurst Farm,SW1_4,Completed,South Wokingham,David Wilson Homes,Montague Park Phase 4,"O/2010/1712, VAR/2015/0342 & 161963",,
23,19,Buckhurst Farm,SW1_1,Nature Park (open),South Wokingham,David Wilson Homes,Montague Park Phase 2 (SANG),"O/2010/1712, VAR/2015/0342 & 161963",,
24,20,Film Studio,A9,Completed,Arborfield,Crest Nicholson,Arborfield Green,162881,,
25,21,Bell Farm,NW1,Under construction,North Wokingham,Berkeley Homes,Foundry Place, ,,
26,22,Stokes Farm,NW11,Nature Park (open),North Wokingham,The Keephatch Beech Consortium,Keephatch Beech,O/2014/2435,,
